Hiragana,Romaji,Kanji,English_Meaning,Example
ああ,aa,嗚呼,Ah!;Oh!;Alas!,嗚呼…ああ
あい,ai,相,together;mutually;fellow,相…あい
あい,ai,愛,love,愛…あい
あいかわらず,aikawarazu,相変わらず,as ever;as usual;the same,相変わらず…あいかわらず
あいさつ,aisatsu,挨拶,greeting;salutation,挨拶…あいさつ
あいじょう,aijyou,愛情,love;affection,愛情…あいじょう
あいする,aisuru,愛する,to love,愛する…あいする
あいず,aizu,合図,sign;signal,合図…あいず
あいそ,aiso,愛想,civility;courtesy;compliments;sociability;graces,愛想…あいそ
あいたい,aitai,相対,confrontation;facing;between ourselves;no third party;tete-a-tete,相対…あいたい
あいだ,aida,間,space;interval,間…あいだ
あいだ,aida,間,space;interval,間…あいだ
あいだ,aida,間,space;interval,間…あいだ
あいだがら,aidagara,間柄,relation(ship),間柄…あいだがら
あいて,aite,相手,companion;partner;company,相手…あいて
あいにく,ainiku,愛憎,likes and dislikes,愛憎…あいにく
あいま,aima,合間,interval,合間…あいま
あいまい,aimai,曖昧,vague;ambiguous,曖昧…あいまい
あう,au,合う,to fit;to suit;to agree with;to match;to be correct;to be profitable,合う…あう
あう,au,会う,to meet;to interview,会う…あう
あう,au,遭う,to meet;to encounter (undesirable nuance),遭う…あう
あえて,aete,敢えて,dare (to do);challenge (to do),敢えて…あえて
あお,ao,青,blue;green;green light,青…あお
あおい,aoi,青い,blue;pale;green;unripe;inexperienced,青い…あおい
あおぐ,aogu,仰ぐ,to look up (to);to respect;to depend on;to ask for;to seek;to revere;to drink;to take,仰ぐ…あおぐ
あおじろい,aojiroi,青白い,pale;pallid,青白い…あおじろい
あか,aka,垢,dirt;filth,垢…あか
あか,aka,亜科,suborder;subfamily,亜科…あか
あかい,akai,赤い,red,赤い…あかい
あかがね,akagane,銅,copper,銅…あかがね
あかし,akashi,証,proof;evidence,証…あかし
あかじ,akaji,赤字,deficit;go in the red,赤字…あかじ
あかす,akasu,明かす,to pass;spend;to reveal;to divulge,明かす…あかす
あかちゃん,akachan,赤ちゃん,baby;infant,赤ちゃん…あかちゃん
あからさま,akarasama,明白,obvious;overt;plainly;frankly,明白…あからさま
あからむ,akaramu,赤らむ,to become red;to redden;to blush,赤らむ…あからむ
あかり,akari,明かり,lamplight;light (in general);brightness,明かり…あかり
あかるい,akarui,明るい,bright;cheerful,明るい…あかるい
あかんぼう,akanbou,赤ん坊,baby,赤ん坊…あかんぼう
あがり,agari,上がり,1.  slope;advance income;crop yield;ascent;rise;advance;death;spinning;completion;stop;finish;after (rain);ex (official  etc.); 2.  freshly-drawn green tea (esp. in sushi shops),上がり…あがり
あがる,agaru,上がる,to enter;to go up;to rise;to climb up;to advance;to appreciate;to be promoted;to improve;to call on;to be offered;to accrue;to be finished;to come to (expenses);to go bankrupt;to begin spinning (cocoons);to be caught;to get ruffled;to eat;to drink;to die;,上がる…あがる
あき,aki,秋,autumn;fall,秋…あき
あき,aki,明き,room;time to spare;emptiness;vacant,明き…あき
あき,aki,空き,room;time to spare;emptiness;vacant,空き…あき
あきうど,akiudo,商人,trader;shopkeeper;merchant,商人…あきうど
あきま,akima,空間,vacancy;room for rent or lease,空間…あきま
あきらか,akiraka,明らか,obvious;evident;clear;plain,明らか…あきらか
あきらめ,akirame,諦め,resignation;acceptance;consolation,諦め…あきらめ
あきらめる,akirameru,諦める,to give up;to abandon,諦める…あきらめる
あきる,akiru,飽きる,to get tired of;to lose interest in;to have enough,飽きる…あきる
あきれる,akireru,呆れる,to be amazed;to be shocked,呆れる…あきれる
あく,aku,悪,evil;wickedness,悪…あく
あく,aku,開く,to be open,開く…あく
あく,aku,空く,to become empty;to be less crowded,空く…あく
あく,aku,空く,to become empty;to be less crowded,空く…あく
あく,aku,灰,puckery juice,灰…あく
あくしゅ,akushu,握手,handshake,握手…あくしゅ
あくどい,akudoi,,1.  gaudy;showy;excessive; 2.  vicious,…あくどい
あくび,akubi,悪日,unlucky day,悪日…あくび
あくま,akuma,悪魔,devil;demon;fiend;Satan;evil spirit,悪魔…あくま
あくまで,akumade,飽くまで,to the end;to the last;stubbornly;persistently,飽くまで…あくまで
あくる,akuru,明くる,next;following,明くる…あくる
あけがた,akegata,明け方,dawn,明け方…あけがた
あける,akeru,開ける,to open,開ける…あける
あける,akeru,明ける,to dawn;to become daylight,明ける…あける
あげる,ageru,上げる,to give;to raise;to elevate;to fly (kites);to praise;to increase;to advance;to promote;to vomit;to usher in;to admit;to send (to school);to offer;to present;to leave with;to finish;to arrange (expenses);to observe;to perform;to quote;to mention;to bear (a,上げる…あげる
あげる,ageru,挙げる,to raise;to fly;to give (an example),挙げる…あげる
あこがれ,akogare,憧れ,yearning;longing;aspiration,憧れ…あこがれ
あこがれる,akogareru,憧れる,to long for;to yearn after;to admire,憧れる…あこがれる
あご,ago,顎,chin,顎…あご
あさ,asa,麻,flax;linen;hemp,麻…あさ
あさ,asa,朝,morning,朝…あさ
あさい,asai,浅い,shallow;superficial,浅い…あさい
あさって,asate,明後日,day after tomorrow,明後日…あさって
あさって,asate,明後日,day after tomorrow,明後日…あさって
あさねぼう,asanebou,朝寝坊,oversleeping;late riser,朝寝坊…あさねぼう
あさましい,asamashii,浅ましい,wretched;miserable;shameful;mean;despicable;abject,浅ましい…あさましい
あざ,aza,字,section of village,字…あざ
あざ,aza,字,section of village,字…あざ
あざむく,azamuku,欺く,to deceive,欺く…あざむく
あざやか,azayaka,鮮やか,vivid;clear;brilliant,鮮やか…あざやか
あざわらう,azawarau,あざ笑う,to sneer at;to ridicule,あざ笑う…あざわらう
あし,ashi,足,foot;pace;gait;leg,足…あし
あし,ashi,足,foot;pace;gait;leg,足…あし
あしあと,ashiato,足跡,footprints,足跡…あしあと
あしからず,ashikarazu,悪しからず,don't take me wrong  but...;I'm sorry,悪しからず…あしからず
あした,ashita,明日,tomorrow,明日…あした
あした,ashita,明日,tomorrow,明日…あした
あしもと,ashimoto,足元,1.  at one's feet;underfoot; 2.  gait;pace;step,足元…あしもと
あじ,aji,味,flavor;taste,味…あじ
あじ,aji,味,flavor;taste,味…あじ
あじわい,ajiwai,味わい,flavour;meaning;significance,味わい…あじわい
あじわう,ajiwau,味わう,to taste;to savor;to relish,味わう…あじわう
あずかる,azukaru,預かる,to keep in custody;to receive on deposit;to take charge of,預かる…あずかる
あずける,azukeru,預ける,to give into custody;to leave (a child) in the care of;to entrust;to deposit,預ける…あずける
あずま,azuma,東,east;Eastern Japan,東…あずま
あせ,ase,汗,sweat;perspiration,汗…あせ
あせる,aseru,焦る,to be in a hurry;to be impatient,焦る…あせる
あせる,aseru,焦る,to be in a hurry;to be impatient,焦る…あせる
あそこ,asoko,彼処,1.  (uk) there;over there;that place; 2.  (X) (col) genitals,彼処…あそこ
あそび,asobi,遊び,playing,遊び…あそび
あたい,atai,値,value;price;cost;worth;merit,値…あたい
あたい,atai,値,value;price;cost;worth;merit,値…あたい
あたいする,ataisuru,値する,to be worth;to deserve;to merit,値する…あたいする
あたえる,ataeru,与える,to give;to present;to award,与える…あたえる
あたし,atashi,私,I (fem),私…あたし
あたたかい,atatakai,暖かい,warm;mild;genial,暖かい…あたたかい
あたたまる,atatamaru,暖まる,to warm oneself;to sun oneself;to warm up;to get warm,暖まる…あたたまる
あたためる,atatameru,暖める,to warm;to heat,暖める…あたためる
あたま,atama,頭,head,頭…あたま
あたま,atama,頭,head,頭…あたま
あたま,atama,頭,head,頭…あたま
あたらしい,atarashii,新しい,new,新しい…あたらしい
あたり,atari,当たり,hit;success;reaching the mark;per ...;vicinity;neighborhood,当たり…あたり
あたり,atari,辺り,(in the) neighbourhood;vicinity;nearby,辺り…あたり
あたりまえ,atarimae,当たり前,usual;common;ordinary;natural;reasonable;obvious,当たり前…あたりまえ
あたる,ataru,当たる,to be hit;to be successful;to face (confront);to lie (in the direction of);to undertake;to treat;to be equivalent to;to apply to;to be applicable;to be assigned,当たる…あたる
あだびと,adabito,他人,another person;unrelated person;outsider;stranger,他人…あだびと
あちこち,achikochi,彼方此方,here and there,彼方此方…あちこち
あちら,achira,彼方,1.  there;yonder;that,彼方…あちら
あちらこちら,achirakochira,彼方此方,here and there,彼方此方…あちらこちら
あっか,aka,悪化,deterioration;growing worse;aggravation;degeneration;corruption,悪化…あっか
あっけない,akkenai,呆気ない,not enough;too quick (short  long  etc.),呆気ない…あっけない
あっこう,akkou,悪口,abuse;insult;slander;evil speaking,悪口…あっこう
あっさり,assari,,easily;readily;quickly,…あっさり
あっしゅく,ashuku,圧縮,compression;condensation;pressure,圧縮…あっしゅく
あっち,achi,,over there,…あっち
あっぱく,appaku,圧迫,pressure;coercion;oppression,圧迫…あっぱく
あつい,atsui,厚い,cordial;kind;warm(hearted);thick;deep,厚い…あつい
あつい,atsui,暑い,hot;warm,暑い…あつい
あつい,atsui,熱い,hot (thing),熱い…あつい
あつかい,atsukai,扱い,treatment;service,扱い…あつかい
あつかう,atsukau,扱う,to handle;to deal with;to treat,扱う…あつかう
あつかましい,atsukamashii,厚かましい,impudent;shameless;brazen,厚かましい…あつかましい
あつまり,atsumari,集まり,gathering;meeting;assembly;collection,集まり…あつまり
あつまる,atsumaru,集まる,to gather;to collect;to assemble,集まる…あつまる
あつめる,atsumeru,集める,to collect;to assemble,集める…あつめる
あつらえる,atsuraeru,誂える,to give an order;to place an order,誂える…あつらえる
あつりょく,atsuryoku,圧力,stress;pressure,圧力…あつりょく
あて,ate,当て,object;aim;end;hopes;expectations,当て…あて
あて,ate,宛,addressed to,宛…あて
あてじ,ateji,当て字,phonetic-equivalent character;substitute character,当て字…あてじ
あてな,atena,宛名,address;direction,宛名…あてな
あてはまる,atehamaru,当てはまる,to apply (a rule),当てはまる…あてはまる
あてはめる,atehameru,当てはめる,to apply;to adapt,当てはめる…あてはめる
あてる,ateru,宛てる,to address,宛てる…あてる
あてる,ateru,当てる,to hit;to apply a patch,当てる…あてる
あと,ato,後,after;behind;later;rear;remainder;successor,後…あと
あと,ato,跡,trace;tracks;mark;scar;sign;remains;ruins,跡…あと
あと,ato,後,after;behind;later;rear;remainder;successor,後…あと
あと,ato,後,after;behind;later;rear;remainder;successor,後…あと
あと,ato,後,after;behind;later;rear;remainder;successor,後…あと
あと,ato,後,after;behind;later;rear;remainder;successor,後…あと
あとつぎ,atotsugi,跡継ぎ,heir;successor,跡継ぎ…あとつぎ
あとまわし,atomawashi,後回し,putting off;postponing,後回し…あとまわし
あな,ana,穴,hole,穴…あな
あなた,anata,貴女,you;lady,貴女…あなた
あに,ani,兄,older brother,兄…あに
あね,ane,姉,older sister,姉…あね
あの,ano,彼の,that over there,彼の…あの
あばれる,abareru,暴れる,to act violently;to rage;to struggle;to be riotous,暴れる…あばれる
あびる,abiru,浴びる,to bathe;to bask in the sun;to shower,浴びる…あびる
あふれる,afureru,溢れる,to flood;to overflow;to brim over,溢れる…あふれる
あぶない,abunai,危ない,dangerous;critical;grave;uncertain;unreliable;limping;narrow;close;watch out!,危ない…あぶない
あぶら,abura,油,oil,油…あぶら
あぶら,abura,油,oil,油…あぶら
あぶらえ,aburae,油絵,oil painting,油絵…あぶらえ
あぶる,aburu,炙る,to scorch,炙る…あぶる
あべこべ,abekobe,,contrary;opposite;inverse,…あべこべ
あまい,amai,甘い,generous;indulgent;easy-going;sweet;fond of;soft on;overly optimistic;naive,甘い…あまい
あまえる,amaeru,甘える,to behave like a spoiled child;to fawn on,甘える…あまえる
あまくち,amakuchi,甘口,sweet flavour;mildness;flattery;stupidity,甘口…あまくち
あまぐ,amagu,雨具,rain gear,雨具…あまぐ
あまつ,amatsu,天,heavenly;imperial,天…あまつ
あまど,amado,雨戸,sliding storm door,雨戸…あまど
あまやかす,amayakasu,甘やかす,to pamper;to spoil,甘やかす…あまやかす
あまり,amari,余り,not very (this form only used as adverb);not much;remainder;rest;remnant;surplus;balance;excess;remains;scraps;residue;fullness;other;too much,余り…あまり
あまり,amari,余り,not very (this form only used as adverb);not much;remainder;rest;remnant;surplus;balance;excess;remains;scraps;residue;fullness;other;too much,余り…あまり
あまる,amaru,余る,to remain;to be left over;to be in excess;to be too many,余る…あまる
あみ,ami,網,net;network,網…あみ
あみ,ami,網,net;network,網…あみ
あみもの,amimono,編物,knitting;web,編物…あみもの
あむ,amu,編む,to knit,編む…あむ
あめ,ame,雨,rain,雨…あめ
あめ,ame,飴,(hard) candy,飴…あめ
あめつち,ametsuchi,天地,heaven and earth;the universe;nature;top and bottom;realm;sphere;world,天地…あめつち
あやうい,ayaui,危うい,dangerous;critical;grave;uncertain;unreliable;limping;narrow;close;watch out!,危うい…あやうい
あやしい,ayashii,怪しい,suspicious;dubious;doubtful,怪しい…あやしい
あやつる,ayatsuru,操る,to manipulate;to operate;to pull strings,操る…あやつる
あやふや,ayafuya,,uncertain;vague;ambiguous,…あやふや
あやぶむ,ayabumu,危ぶむ,to fear;to have misgivings;to be doubtful;to mistrust,危ぶむ…あやぶむ
あやまち,ayamachi,過ち,fault;error;indiscretion,過ち…あやまち
あやまり,ayamari,誤り,error,誤り…あやまり
あやまる,ayamaru,誤る,to make a mistake,誤る…あやまる
あやまる,ayamaru,謝る,to apologize,謝る…あやまる
あゆみ,ayumi,歩み,walking,歩み…あゆみ
あゆむ,ayumu,歩む,to walk;to go on foot,歩む…あゆむ
あら,ara,,oh;ah;saw-edged perch (Niphon spinosus),…あら
あらい,arai,荒い,rough;rude;wild,荒い…あらい
あらい,arai,粗い,coarse;rough,粗い…あらい
あらう,arau,洗う,to wash,洗う…あらう
あらかじめ,arakajime,予め,beforehand;in advance;previously,予め…あらかじめ
あらし,arashi,嵐,storm;tempest,嵐…あらし
あらす,arasu,荒らす,to lay waste;to devastate;to damage;to invade;to break into,荒らす…あらす
あらすじ,arasuji,粗筋,outline;summary,粗筋…あらすじ
あらそい,arasoi,争い,dispute;strife;quarrel;dissension;conflict;rivalry;contest,争い…あらそい
あらそう,arasou,争う,to dispute;to argue;to be at variance;to compete,争う…あらそう
あらた,arata,新た,new;fresh;novel,新た…あらた
あらたまる,aratamaru,改まる,to be renewed,改まる…あらたまる
あらためて,aratamete,改めて,another time;again;over again;anew;formally,改めて…あらためて
あらためる,aratameru,改める,to change;to alter;to reform;to revise,改める…あらためる
あらっぽい,arappoi,荒っぽい,rough;rude,荒っぽい…あらっぽい
あらゆる,arayuru,凡ゆる,all;every,凡ゆる…あらゆる
あられ,arare,,kind of cookie;cartoon character,…あられ
